x_value,State.INFECTIOUS,State.RECOVERED,State.SUSCEPTIBLE
345,14,10,76
346,14,10,76
347,15,10,75
348,15,10,75
349,15,10,75
350,15,10,75
351,15,10,75
352,15,10,75
353,15,10,75
354,16,10,74
355,16,10,74
356,16,10,74
357,16,10,74
358,17,10,73
359,18,10,72
360,19,10,71
361,19,10,71
362,20,10,70
363,19,11,70
364,20,11,69
365,20,11,69
366,20,11,69
367,20,11,69
368,20,11,69
369,20,11,69
370,20,11,69
371,20,11,69
372,20,11,69
373,20,11,69
374,19,12,69
375,19,12,69
376,19,12,69
377,19,12,69
378,20,12,68
379,20,12,68
380,20,12,68
381,20,12,68
382,20,12,68
383,20,12,68
384,20,12,68
385,20,12,68
386,20,12,68
387,20,12,68
388,20,12,68
389,20,12,68
390,20,12,68
391,20,12,68
392,20,12,68
393,20,12,68
394,20,12,68
395,20,12,68
396,20,12,68
397,20,12,68
398,20,12,68
399,20,12,68
400,19,13,68
401,19,13,68
402,19,13,68
403,19,13,68
404,19,13,68
405,19,13,68
406,19,13,68
407,19,13,68
408,19,13,68
409,19,13,68
410,19,13,68
411,19,13,68
412,19,13,68
413,19,13,68
414,19,13,68
415,19,13,68
416,19,13,68
417,19,13,68
418,19,13,68
419,19,13,68
420,19,13,68
421,19,13,68
422,19,13,68
423,19,13,68
424,19,13,68
425,19,13,68
426,19,13,68
427,19,13,68
428,19,13,68
429,20,13,67
430,20,13,67
431,20,13,67
432,20,13,67
433,20,13,67
434,20,13,67
435,20,13,67
436,20,13,67
437,20,13,67
438,21,13,66
439,21,13,66
440,20,14,66
441,20,14,66
442,20,14,66
443,20,14,66
444,20,14,66
445,21,14,65
446,21,14,65
447,21,14,65
448,21,14,65
449,21,14,65
450,21,14,65
451,21,14,65
452,21,14,65
453,21,14,65
454,22,14,64
455,22,14,64
456,22,14,64
457,22,14,64
458,22,14,64
459,22,14,64
460,22,14,64
461,22,14,64
462,22,14,64
463,22,14,64
464,22,14,64
465,22,14,64
466,22,14,64
467,22,14,64
468,22,14,64
469,22,14,64
470,22,14,64
471,22,14,64
472,21,15,64
473,21,15,64
474,21,15,64
475,21,15,64
476,21,15,64
477,21,15,64
478,21,15,64
479,21,15,64
480,21,15,64
481,21,15,64
482,21,15,64
483,21,15,64
484,22,15,63
485,22,15,63
486,22,15,63
487,22,15,63
488,22,15,63
489,22,15,63
490,22,15,63
491,22,15,63
492,22,15,63
493,22,15,63
494,23,15,62
495,23,15,62
496,23,15,62
497,23,15,62
498,23,15,62
499,23,15,62
500,23,15,62
501,23,15,62
502,22,16,62
503,22,16,62
504,22,16,62
505,22,16,62
506,22,16,62
507,22,16,62
508,22,16,62
509,22,16,62
510,22,16,62
511,22,16,62
512,22,16,62
513,22,16,62
514,21,17,62
515,21,17,62
516,21,17,62
517,21,17,62
518,21,17,62
519,20,18,62
520,20,18,62
521,20,18,62
522,20,18,62
523,20,18,62
524,20,18,62
525,20,18,62
526,20,18,62
527,20,18,62
528,20,18,62
529,19,19,62
530,19,19,62
531,19,19,62
532,19,19,62
533,19,19,62
534,18,20,62
535,18,20,62
536,18,20,62
537,18,20,62
538,18,20,62
539,18,20,62
540,18,20,62
541,18,20,62
542,18,20,62
543,18,20,62
544,18,20,62
545,18,20,62
546,18,20,62
547,18,20,62
548,18,20,62
549,18,20,62
550,18,20,62
551,18,20,62
552,18,20,62
553,18,20,62
554,18,20,62
555,18,20,62
556,19,20,61
557,19,20,61
558,19,20,61
559,19,20,61
560,19,20,61
561,18,21,61
562,18,21,61
563,18,21,61
564,18,21,61
565,18,21,61
566,18,21,61
567,18,21,61
568,18,21,61
569,18,21,61
570,18,21,61
571,18,21,61
572,18,21,61
573,18,21,61
574,17,22,61
575,17,22,61
576,17,22,61
577,17,22,61
578,17,22,61
579,17,22,61
580,17,22,61
581,17,22,61
582,17,22,61
583,17,22,61
584,17,22,61
585,17,22,61
586,17,22,61
587,17,22,61
588,17,22,61
589,17,22,61
590,17,22,61
591,17,22,61
592,17,22,61
593,17,22,61
594,17,22,61
595,17,22,61
596,16,23,61
597,16,23,61
598,16,23,61
599,16,23,61
600,15,24,61
601,15,24,61
602,15,24,61
603,15,24,61
604,16,24,60
605,16,24,60
606,17,24,59
607,17,24,59
608,16,25,59
609,16,25,59
610,16,25,59
611,15,26,59
612,15,26,59
613,15,26,59
614,15,26,59
615,15,26,59
616,15,26,59
617,15,26,59
618,15,26,59
619,15,26,59
620,15,26,59
621,15,26,59
622,15,26,59
623,15,26,59
624,15,26,59
